SMILES1,SMILES,INCHIKEY
[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,[Ca++].CC(C)c1nc(nc(-c2ccc(F)cc2)c1\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O.CC(C)c3nc(nc(-c4ccc(F)cc4)c3\C=C\[C@@H](O)C[C@@H](O)CC([O-])=O)N(C)S(C)(=O)=O,LALFOYNTGMUKGG-BGRFNVSISA-L
[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,WXEMWBBXVXHEPU-NDOCQCNASA-L
[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,WXEMWBBXVXHEPU-NDOCQCNASA-L
[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,WXEMWBBXVXHEPU-NDOCQCNASA-L
[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,WXEMWBBXVXHEPU-NDOCQCNASA-L
[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,[Cl-].[Cl-].[Mn++].C1CC[C@@H]2NCc3cccc(CN[C@H]4CCCC[C@@H]4NCCN[C@H]2C1)n3,WXEMWBBXVXHEPU-NDOCQCNASA-L
[Cl-].[H][C@@]12[C@@H]3CCN1C(=O)[C@@H]4Cc5cn(CCCCCCN(Cc6ccc(CCNC(=O)[C@]7(C)CCCN7C(=O)[C@H](Cc8ccc(OC)cc8)NC(=O)[C@@H](NC2=O)[C@@H](C)O)cc6)C(=O)CCC(=O)N[C@@H](C)C(=O)N[C@H](CNC(=O)CCCCC[N+](C)(C)C)C(=O)N[C@@H](Cc9cccc(CNC(=O)CO3)c9)C(=O)N4)c%10ccc(F)cc5%10,[Cl-].[H][C@@]12[C@@H]3CCN1C(=O)[C@@H]4Cc5cn(CCCCCCN(Cc6ccc(CCNC(=O)[C@]7(C)CCCN7C(=O)[C@H](Cc8ccc(OC)cc8)NC(=O)[C@@H](NC2=O)[C@@H](C)O)cc6)C(=O)CCC(=O)N[C@@H](C)C(=O)N[C@H](CNC(=O)CCCCC[N+](C)(C)C)C(=O)N[C@@H](Cc9cccc(CNC(=O)CO3)c9)C(=O)N4)c%10ccc(F)cc5%10,CLOLWQCFULXMAR-QQCDJELVSA-N
[Cl-].C[N+](C)(C)CCOC(=O)CCCC[C@@H]1CCSS1,[Cl-].C[N+](C)(C)CCOC(=O)CCCC[C@@H]1CCSS1,QMADNKDMPGZUKN-UTONKHPSSA-M
[Cl-].Cc1cccc(C)c1NC(=O)C[N+]3(Cc2ccccc2)CCCCCC3,[Cl-].Cc1cccc(C)c1NC(=O)C[N+]3(Cc2ccccc2)CCCCCC3,LKGJDWZDLANXSQ-UHFFFAOYSA-N
[Cl-].CCCCC1(CCCC)CS(=O)(=O)c2ccc(cc2[C@H]([C@H]1O)c3ccc(OCc4ccc(C[N+]56CCN(CC5)CC6)cc4)cc3)N(C)C,[Cl-].CCCCC1(CCCC)CS(=O)(=O)c2ccc(cc2[C@H]([C@H]1O)c3ccc(OCc4ccc(C[N+]56CCN(CC5)CC6)cc4)cc3)N(C)C,POMVPJBWDDJCMP-RUKDTIIFSA-M
